Request_Id,Pickup_Point,Driver_Id,Status,Request_Timestamp,Drop _Timestamp,Request_Date,Request_Hour,,Drop_Hour,Trip_Duration(in minutes)
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016 13:00,11-07-2016,11,,13,68.99999999
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016 18:47,11-07-2016,17,,18,50
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016 09:58,12-07-2016,9,,9,41
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016 22:03,12-07-2016,21,,22,54.99999999
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25,13-07-2016,8,,9,52.51666667
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28,13-07-2016,21,,22,31.51666667
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13,14-07-2016,6,,7,57.71666667
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07,15-07-2016,5,,6,55.99999999
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50,15-07-2016,17,,18,53.39999999
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016 07:25,11-07-2016,6,,7,39
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016 06:02,12-07-2016,5,,6,54
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016 12:57,12-07-2016,12,,12,26.99999999
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23,13-07-2016,4,,5,33.71666666
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16,13-07-2016,8,,9,73.43333334
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35,13-07-2016,14,,15,72.26666666
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20,13-07-2016,17,,18,57.55
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36,14-07-2016,12,,12,35.73333334
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18,14-07-2016,22,,23,54.65
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016 10:31,11-07-2016,10,,10,31.00000001
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016 19:23,11-07-2016,18,,19,38
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016 12:23,12-07-2016,11,,12,66.00000001
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016 16:40,12-07-2016,15,,16,54
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016 18:28,12-07-2016,18,,18,28
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016 09:22,13-07-2016,8,,9,65.13333332
